Date|State|Office|District|Candidate|Party|Votes
11/6/2012|PENNSYLVANIA|FOR UNITED STATES REPRESENTATIVE|6|Manan M. Trivedi|Democrat|143803
11/6/2012|PENNSYLVANIA|FOR UNITED STATES REPRESENTATIVE|7|Patrick Meehan|Republican|209942
11/6/2012|PENNSYLVANIA|FOR UNITED STATES REPRESENTATIVE|7|George Badey|Democrat|143509
11/6/2012|PENNSYLVANIA|FOR UNITED STATES REPRESENTATIVE|8|Michael G. Fitzpatrick|Republican|199379
11/6/2012|PENNSYLVANIA|FOR UNITED STATES REPRESENTATIVE|8|Kathy Boockvar|Democrat|152859
11/6/2012|PENNSYLVANIA|FOR UNITED STATES REPRESENTATIVE|9|Bill Shuster|Republican|169177
11/6/2012|PENNSYLVANIA|FOR UNITED STATES REPRESENTATIVE|9|Karen Ramsburg|Democrat|105128
11/6/2012|PENNSYLVANIA|FOR UNITED STATES REPRESENTATIVE|10|Tom Marino|Republican|179563
11/6/2012|PENNSYLVANIA|FOR UNITED STATES REPRESENTATIVE|10|Philip Scollo|Democrat|94227
11/6/2012|PENNSYLVANIA|FOR UNITED STATES REPRESENTATIVE|11|Lou Barletta|Republican|166967
11/6/2012|PENNSYLVANIA|FOR UNITED STATES REPRESENTATIVE|11|Gene Stilp|Democrat|118231
11/6/2012|PENNSYLVANIA|FOR UNITED STATES REPRESENTATIVE|12|Keith J. Rothfus|Republican|175352
11/6/2012|PENNSYLVANIA|FOR UNITED STATES REPRESENTATIVE|12|Mark S. Critz|Democrat|163589
11/6/2012|PENNSYLVANIA|FOR UNITED STATES REPRESENTATIVE|13|Joseph James Rooney|Republican|93918
11/6/2012|PENNSYLVANIA|FOR UNITED STATES REPRESENTATIVE|13|Allyson Y. Schwartz|Democrat|209901
11/6/2012|PENNSYLVANIA|FOR UNITED STATES REPRESENTATIVE|14|Hans Lessmann|Republican|75702
11/6/2012|PENNSYLVANIA|FOR UNITED STATES REPRESENTATIVE|14|Michael F. Doyle|Democrat|251932
11/6/2012|PENNSYLVANIA|FOR UNITED STATES REPRESENTATIVE|15|Charles W. Dent|Republican|168960
11/6/2012|PENNSYLVANIA|FOR UNITED STATES REPRESENTATIVE|15|Rick Daugherty|Democrat|128764
11/6/2012|PENNSYLVANIA|FOR UNITED STATES REPRESENTATIVE|16|Joseph R. Pitts|Republican|156192
11/6/2012|PENNSYLVANIA|FOR UNITED STATES REPRESENTATIVE|16|Aryanna C. Strader|Democrat|111185
11/6/2012|PENNSYLVANIA|FOR UNITED STATES REPRESENTATIVE|16|John A. Murphy|Independent|12250
11/6/2012|PENNSYLVANIA|FOR UNITED STATES REPRESENTATIVE|16|James F. Bednarski|Bednarski for Congress|5154
11/6/2012|PENNSYLVANIA|FOR UNITED STATES REPRESENTATIVE|17|Laureen A. Cummings|Republican|106208
11/6/2012|PENNSYLVANIA|FOR UNITED STATES REPRESENTATIVE|17|Matthew A. Cartwright|Democrat|161393
11/6/2012|PENNSYLVANIA|FOR UNITED STATES REPRESENTATIVE|18|Tim Murphy|Republican|216727
11/6/2012|PENNSYLVANIA|FOR UNITED STATES REPRESENTATIVE|18|Larry Maggi|Democrat|122146
11/6/2012|RHODE ISLAND|FOR PRESIDENTIAL ELECTORS|||Republican|157204
11/6/2012|RHODE ISLAND|FOR PRESIDENTIAL ELECTORS|||Democratic|279677
11/6/2012|RHODE ISLAND|FOR PRESIDENTIAL ELECTORS|||Libertarian|4388
11/6/2012|RHODE ISLAND|FOR PRESIDENTIAL ELECTORS|||Green|2421
11/6/2012|RHODE ISLAND|FOR PRESIDENTIAL ELECTORS|||Constitution|430
11/6/2012|RHODE ISLAND|FOR PRESIDENTIAL ELECTORS|||Justice|416
11/6/2012|RHODE ISLAND|FOR PRESIDENTIAL ELECTORS|||Socialism and Liberation|132
11/6/2012|RHODE ISLAND|FOR PRESIDENTIAL ELECTORS|||Write-in|1381
11/6/2012|RHODE ISLAND|FOR UNITED STATES SENATOR||Benjamin Barrett Hinckley III|Republican|146222
11/6/2012|RHODE ISLAND|FOR UNITED STATES SENATOR||Sheldon Whitehouse|Democrat|271034
11/6/2012|RHODE ISLAND|FOR UNITED STATES SENATOR||Write-in||933
11/6/2012|RHODE ISLAND|FOR UNITED STATES REPRESENTATIVE|1|Brendan P. Doherty|Republican|83737
11/6/2012|RHODE ISLAND|FOR UNITED STATES REPRESENTATIVE|1|David N. Cicilline|Democrat|108612
11/6/2012|RHODE ISLAND|FOR UNITED STATES REPRESENTATIVE|1|David S. Vogel|Independent|12504
11/6/2012|RHODE ISLAND|FOR UNITED STATES REPRESENTATIVE|1|Write-in||262
11/6/2012|RHODE ISLAND|FOR UNITED STATES REPRESENTATIVE|2|Michael G. Riley|Republican|78189
11/6/2012|RHODE ISLAND|FOR UNITED STATES REPRESENTATIVE|2|James R. Langevin|Democrat|124067
11/6/2012|RHODE ISLAND|FOR UNITED STATES REPRESENTATIVE|2|Abel G. Collins|Independent|20212
11/6/2012|RHODE ISLAND|FOR UNITED STATES REPRESENTATIVE|2|Write-in||192
11/6/2012|SOUTH CAROLINA|FOR PRESIDENTIAL ELECTORS|||Republican|1071645
11/6/2012|SOUTH CAROLINA|FOR PRESIDENTIAL ELECTORS|||Democratic|865941
11/6/2012|SOUTH CAROLINA|FOR PRESIDENTIAL ELECTORS|||Libertarian|16321
11/6/2012|SOUTH CAROLINA|FOR PRESIDENTIAL ELECTORS|||Green|5446
11/6/2012|SOUTH CAROLINA|FOR PRESIDENTIAL ELECTORS|||Constitution|4765
11/6/2012|SOUTH CAROLINA|FOR UNITED STATES REPRESENTATIVE|1|Tim Scott|Republican|179908
11/6/2012|SOUTH CAROLINA|FOR UNITED STATES REPRESENTATIVE|1|Bobbie G. Rose|Democrat|98154
11/6/2012|SOUTH CAROLINA|FOR UNITED STATES REPRESENTATIVE|1|Bobbie G. Rose|Working Families|5403
11/6/2012|SOUTH CAROLINA|FOR UNITED STATES REPRESENTATIVE|1|Keith Blandford|Libertarian|6334
11/6/2012|SOUTH CAROLINA|FOR UNITED STATES REPRESENTATIVE|1|Write-in||214
11/6/2012|SOUTH CAROLINA|FOR UNITED STATES REPRESENTATIVE|2|Joe Wilson|Republican|196116
11/6/2012|SOUTH CAROLINA|FOR UNITED STATES REPRESENTATIVE|2|Write-in||7602
11/6/2012|SOUTH CAROLINA|FOR UNITED STATES REPRESENTATIVE|3|Jeff Duncan|Republican|169512
11/6/2012|SOUTH CAROLINA|FOR UNITED STATES REPRESENTATIVE|3|Brian Ryan B. Doyle|Democrat|84735
11/6/2012|SOUTH CAROLINA|FOR UNITED STATES REPRESENTATIVE|3|Write-in||516
11/6/2012|SOUTH CAROLINA|FOR UNITED STATES REPRESENTATIVE|4|Trey Gowdy|Republican|173201
11/6/2012|SOUTH CAROLINA|FOR UNITED STATES REPRESENTATIVE|4|Deb Morrow|Democrat|84087
11/6/2012|SOUTH CAROLINA|FOR UNITED STATES REPRESENTATIVE|4|Deb Morrow|Working Families|5877
11/6/2012|SOUTH CAROLINA|FOR UNITED STATES REPRESENTATIVE|4|Jeff Sumerel|Green|3390
11/6/2012|SOUTH CAROLINA|FOR UNITED STATES REPRESENTATIVE|4|Write-in||329
11/6/2012|SOUTH CAROLINA|FOR UNITED STATES REPRESENTATIVE|5|Mick Mulvaney|Republican|154324
11/6/2012|SOUTH CAROLINA|FOR UNITED STATES REPRESENTATIVE|5|Joyce Knott|Democrat|113904
11/6/2012|SOUTH CAROLINA|FOR UNITED STATES REPRESENTATIVE|5|Joyce Knott|Working Families|9539
11/6/2012|SOUTH CAROLINA|FOR UNITED STATES REPRESENTATIVE|5|Write-in||236
11/6/2012|SOUTH CAROLINA|FOR UNITED STATES REPRESENTATIVE|6|James E. Clyburn|Democrat|218717
11/6/2012|SOUTH CAROLINA|FOR UNITED STATES REPRESENTATIVE|6|Nammu Y. Muhammad|Green|12920
11/6/2012|SOUTH CAROLINA|FOR UNITED STATES REPRESENTATIVE|6|Write-in||1978
11/6/2012|SOUTH CAROLINA|FOR UNITED STATES REPRESENTATIVE|7|Tom Rice|Republican|153068
11/6/2012|SOUTH CAROLINA|FOR UNITED STATES REPRESENTATIVE|7|Gloria Bromell Tinubu|Democrat|114594
11/6/2012|SOUTH CAROLINA|FOR UNITED STATES REPRESENTATIVE|7|Gloria Bromell Tinubu|Working Families|7795
11/6/2012|SOUTH CAROLINA|FOR UNITED STATES REPRESENTATIVE|7|Write-in||281
11/6/2012|SOUTH DAKOTA|FOR PRESIDENTIAL ELECTORS|||Republican|210610
11/6/2012|SOUTH DAKOTA|FOR PRESIDENTIAL ELECTORS|||Democratic|145039
11/6/2012|SOUTH DAKOTA|FOR PRESIDENTIAL ELECTORS|||Libertarian|5795
11/6/2012|SOUTH DAKOTA|FOR PRESIDENTIAL ELECTORS|||Constitution|2371
11/6/2012|SOUTH DAKOTA|FOR UNITED STATES REPRESENTATIVE|AT LARGE|Kristi L. Noem|Republican|207640
11/6/2012|SOUTH DAKOTA|FOR UNITED STATES REPRESENTATIVE|AT LARGE|Matt Varilek|Democrat|153789
11/6/2012|TENNESSEE|FOR PRESIDENTIAL ELECTORS|||Republican|1462330
11/6/2012|TENNESSEE|FOR PRESIDENTIAL ELECTORS|||Democratic|960709
11/6/2012|TENNESSEE|FOR PRESIDENTIAL ELECTORS|||Independent|23001
11/6/2012|TENNESSEE|FOR PRESIDENTIAL ELECTORS|||Green|6515
11/6/2012|TENNESSEE|FOR PRESIDENTIAL ELECTORS|||Constitution|6022
11/6/2012|TENNESSEE|FOR UNITED STATES SENATOR||Bob Corker|Republican|1506443
11/6/2012|TENNESSEE|FOR UNITED STATES SENATOR||Mark E. Clayton|Democrat|705882
11/6/2012|TENNESSEE|FOR UNITED STATES SENATOR||Shaun E. Crowell|Independent|20936
11/6/2012|TENNESSEE|FOR UNITED STATES SENATOR||James Higdon|Independent|8085
11/6/2012|TENNESSEE|FOR UNITED STATES SENATOR||Michel Joseph Long|Independent|8080
11/6/2012|TENNESSEE|FOR UNITED STATES SENATOR||Troy Stephen Scoggin|Independent|7148
11/6/2012|TENNESSEE|FOR UNITED STATES SENATOR||David Gatchell|Independent|6523
11/6/2012|TENNESSEE|FOR UNITED STATES SENATOR||Martin Pleasant|Green|38472
11/6/2012|TENNESSEE|FOR UNITED STATES SENATOR||Kermit Steck|Constitution|18620
11/6/2012|TENNESSEE|FOR UNITED STATES SENATOR||Angelia Stinnett|Write-in|470
11/6/2012|TENNESSEE|FOR UNITED STATES SENATOR||Jacob Maurer|Write-in|409
11/6/2012|TENNESSEE|FOR UNITED STATES SENATOR||Larry Crim|Write-in|218
11/6/2012|TENNESSEE|FOR UNITED STATES SENATOR||Jim Maynard|Write-in|117
11/6/2012|TENNESSEE|FOR UNITED STATES SENATOR||Margie Nell Penn|Write-in|23
11/6/2012|TENNESSEE|FOR UNITED STATES SENATOR||Gary Gene Davis|Write-in|18
11/6/2012|TENNESSEE|FOR UNITED STATES SENATOR||Lee Stewart|Write-in|14
11/6/2012|TENNESSEE|FOR UNITED STATES SENATOR||Christopher Schappert|Write-in|12
11/6/2012|TENNESSEE|FOR UNITED STATES SENATOR||Allen Hoenicke|Write-in|5
11/6/2012|TENNESSEE|FOR UNITED STATES SENATOR||Mary D. Wright|Write-in|2
11/6/2012|TENNESSEE|FOR UNITED STATES REPRESENTATIVE|1|David P. Roe|Republican|182252
11/6/2012|TENNESSEE|FOR UNITED STATES REPRESENTATIVE|1|Alan Woodruff|Democrat|47663
11/6/2012|TENNESSEE|FOR UNITED STATES REPRESENTATIVE|1|Karen Sherry Brackett|Independent|4837
11/6/2012|TENNESSEE|FOR UNITED STATES REPRESENTATIVE|1|Michael D. Salyer|Independent|2048
11/6/2012|TENNESSEE|FOR UNITED STATES REPRESENTATIVE|1|Robert N. Smith|Green|2872
11/6/2012|TENNESSEE|FOR UNITED STATES REPRESENTATIVE|2|John J. Duncan, Jr.|Republican|196894
11/6/2012|TENNESSEE|FOR UNITED STATES REPRESENTATIVE|2|Troy Christopher Goodale|Democrat|54522
11/6/2012|TENNESSEE|FOR UNITED STATES REPRESENTATIVE|2|Greg Samples|Independent|4382
11/6/2012|TENNESSEE|FOR UNITED STATES REPRESENTATIVE|2|Brandon Stewart|Independent|2974
11/6/2012|TENNESSEE|FOR UNITED STATES REPRESENTATIVE|2|Norris Dryer|Green|5733
11/6/2012|TENNESSEE|FOR UNITED STATES REPRESENTATIVE|3|Charles J. "Chuck" Fleischmann|Republican|157830
11/6/2012|TENNESSEE|FOR UNITED STATES REPRESENTATIVE|3|Mary M. Headrick|Democrat|91094
11/6/2012|TENNESSEE|FOR UNITED STATES REPRESENTATIVE|3|Matthew Deniston|Independent|7905
11/6/2012|TENNESSEE|FOR UNITED STATES REPRESENTATIVE|3|Jean "Lady J" Howard-Hill|Write-in|62
11/6/2012|TENNESSEE|FOR UNITED STATES REPRESENTATIVE|3|Richard Hall|Write-in|18
11/6/2012|TENNESSEE|FOR UNITED STATES REPRESENTATIVE|4|Scott DesJarlais|Republican|128568
11/6/2012|TENNESSEE|FOR UNITED STATES REPRESENTATIVE|4|Eric Stewart|Democrat|102022
11/6/2012|TENNESSEE|FOR UNITED STATES REPRESENTATIVE|5|Brad Staats|Republican|86240
11/6/2012|TENNESSEE|FOR UNITED STATES REPRESENTATIVE|5|Jim Cooper|Democrat|171621
11/6/2012|TENNESSEE|FOR UNITED STATES REPRESENTATIVE|5|John Miglietta|Green|5222
11/6/2012|TENNESSEE|FOR UNITED STATES REPRESENTATIVE|5|Sean Puckett|Write-in|12
11/6/2012|TENNESSEE|FOR UNITED STATES REPRESENTATIVE|6|Diane Black|Republican|184383
11/6/2012|TENNESSEE|FOR UNITED STATES REPRESENTATIVE|6|Scott Beasley|Independent|34766
11/6/2012|TENNESSEE|FOR UNITED STATES REPRESENTATIVE|6|Pat Riley|Green|21633
11/6/2012|TENNESSEE|FOR UNITED STATES REPRESENTATIVE|6|Rachel Robinson|Write-in|455
11/6/2012|TENNESSEE|FOR UNITED STATES REPRESENTATIVE|6|Michael H. Thompson|Write-in|4
11/6/2012|TENNESSEE|FOR UNITED STATES REPRESENTATIVE|7|Marsha Blackburn|Republican|182730
11/6/2012|TENNESSEE|FOR UNITED STATES REPRESENTATIVE|7|Credo Amouzouvik|Democrat|61679
11/6/2012|TENNESSEE|FOR UNITED STATES REPRESENTATIVE|7|Jack Arnold|Independent|4256
11/6/2012|TENNESSEE|FOR UNITED STATES REPRESENTATIVE|7|Wm. Ryan Akin|Independent|2740
11/6/2012|TENNESSEE|FOR UNITED STATES REPRESENTATIVE|7|Leonard D. "Lenny" Ladner|Independent|1261
11/6/2012|TENNESSEE|FOR UNITED STATES REPRESENTATIVE|7|Howard Switzer|Green|4640
11/6/2012|TENNESSEE|FOR UNITED STATES REPRESENTATIVE|8|Stephen Lee Fincher|Republican|190923
11/6/2012|TENNESSEE|FOR UNITED STATES REPRESENTATIVE|8|Timothy D. Dixon|Democrat|79490
11/6/2012|TENNESSEE|FOR UNITED STATES REPRESENTATIVE|8|James Hart|Independent|6139
11/6/2012|TENNESSEE|FOR UNITED STATES REPRESENTATIVE|8|Mark J. Rawles|Independent|2870
11/6/2012|TENNESSEE|FOR UNITED STATES REPRESENTATIVE|9|George S. Flinn, Jr.|Republican|59742
11/6/2012|TENNESSEE|FOR UNITED STATES REPRESENTATIVE|9|Steve Cohen|Democrat|188422
11/6/2012|TENNESSEE|FOR UNITED STATES REPRESENTATIVE|9|Brian L. Saulsberry|Independent|1448
11/6/2012|TENNESSEE|FOR UNITED STATES REPRESENTATIVE|9|Gregory M. Joiner|Independent|1372
11/6/2012|TENNESSEE|FOR UNITED STATES REPRESENTATIVE|9|Kimberlee E. Smith|Write-in|2
11/6/2012|TENNESSEE|FOR UNITED STATES REPRESENTATIVE|9|Herbert A. Bass|Write-in|1
11/6/2012|TEXAS|FOR PRESIDENTIAL ELECTORS|||Republican|4569843
11/6/2012|TEXAS|FOR PRESIDENTIAL ELECTORS|||Democratic|3308124
11/6/2012|TEXAS|FOR PRESIDENTIAL ELECTORS|||Libertarian|88580
11/6/2012|TEXAS|FOR PRESIDENTIAL ELECTORS|||Green|24657
11/6/2012|TEXAS|FOR PRESIDENTIAL ELECTORS|||Write-in|2647
11/6/2012|TEXAS|FOR UNITED STATES SENATOR||Ted Cruz|Republican|4440137
11/6/2012|TEXAS|FOR UNITED STATES SENATOR||Paul Sadler|Democrat|3194927
11/6/2012|TEXAS|FOR UNITED STATES SENATOR||John Jay Myers|Libertarian|162354
11/6/2012|TEXAS|FOR UNITED STATES SENATOR||David B. Collins|Green|67404
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|1|Louie Gohmert|Republican|178322
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|1|Shirley J. McKellar|Democrat|67222
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|1|Clark Patterson|Libertarian|4114
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|2|Ted Poe|Republican|159664
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|2|Jim Dougherty|Democrat|80512
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|2|Kenneth Duncan|Libertarian|4140
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|2|Mark A. Roberts|Green|2012
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|3|Sam Johnson|Republican|187180
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|4|Ralph M. Hall|Republican|182679
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|4|VaLinda Hathcox|Democrat|60214
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|4|Thomas Griffing|Libertarian|7262
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|4|Fred Rostek|Write-in|188
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|5|Jeb Hensarling|Republican|134091
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|5|Linda S. Mrosko|Democrat|69178
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|5|Ken Ashby|Libertarian|4961
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|6|Joe Barton|Republican|145019
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|6|Kenneth Sanders|Democrat|98053
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|6|Hugh Chauvin|Libertarian|4847
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|6|Brandon Parmer|Green|2017
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|7|John Abney Culberson|Republican|142793
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|7|James Cargas|Democrat|85553
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|7|Drew Parks|Libertarian|4669
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|7|Lance Findley|Green|1822
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|8|Kevin Brady|Republican|194043
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|8|Neil Burns|Democrat|51051
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|8|Roy Hall|Libertarian|5958
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|9|Steve Mueller|Republican|36139
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|9|Al Green|Democrat|144075
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|9|John Wieder|Libertarian|1609
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|9|Vanessa Foster|Green|1743
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|10|Michael T. McCaul|Republican|159783
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|10|Tawana W. Cadien|Democrat|95710
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|10|Richard Priest|Libertarian|8526
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|11|K. Michael Conaway|Republican|177742
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|11|Jim Riley|Democrat|41970
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|11|Scott J. Ballard|Libertarian|6311
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|12|Kay Granger|Republican|175649
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|12|Dave Robinson|Democrat|66080
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|12|Matthew Solodow|Libertarian|5983
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|13|Mac Thornberry|Republican|187775
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|13|John Robert Deek|Libertarian|12701
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|13|Keith F. Houston|Green|5912
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|14|Randy Weber|Republican|131460
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|14|Nick Lampson|Democrat|109697
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|14|Zach Grady|Libertarian|3619
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|14|Rhett Rosenquest Smith|Green|1063
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|15|Dale A. Brueggemann|Republican|54056
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|15|Rubén Hinojosa|Democrat|89296
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|15|Ron Finch|Libertarian|3309
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|16|Barbara Carrasco|Republican|51043
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|16|Beto O’Rourke|Democrat|101403
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|16|Junart Sodoy|Libertarian|2559
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|17|Bill Flores|Republican|143284
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|17|Ben Easton|Libertarian|35978
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|18|Sean Seibert|Republican|44015
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|18|Sheila Jackson Lee|Democrat|146223
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|18|Christopher Barber|Libertarian|4694
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|19|Randy Neugebauer|Republican|163239
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|19|Richard "Chip" Peterson|Libertarian|28824
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|20|David Rosa|Republican|62376
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|20|Joaquin Castro|Democrat|119032
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|20|A. E. "Tracy" Potts|Libertarian|3143
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|20|Antonio Diaz|Green|1626
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|21|Lamar Smith|Republican|187015
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|21|Candace E. Duval|Democrat|109326
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|21|John-Henry Liberty|Libertarian|12524
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|22|Pete Olson|Republican|160668
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|22|Kesha Rogers|Democrat|80203
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|22|Steven Susman|Libertarian|5986
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|22|Don Cook|Green|4054
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|23|Francisco "Quico" Canseco|Republican|87547
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|23|Pete P. Gallego|Democrat|96676
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|23|Jeffrey C. Blunt|Libertarian|5841
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|23|Ed Scharf|Green|2105
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|24|Kenny Marchant|Republican|148586
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|24|Tim Rusk|Democrat|87645
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|24|John Stathas|Libertarian|7258
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|25|Roger Williams|Republican|154245
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|25|Elaine M. Henderson|Democrat|98827
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|25|Betsy Dewey|Libertarian|10860
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|26|Michael C. Burgess|Republican|176642
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|26|David Sanchez|Democrat|74237
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|26|Mark Boler|Libertarian|7844
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|27|Blake Farenthold|Republican|120684
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|27|Rose Meza Harrison|Democrat|83395
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|27|Bret Baldwin|Independent|5354
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|27|Corrie Byrd|Libertarian|3218
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|28|William R. Hayward|Republican|49309
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|28|Henry Cuellar|Democrat|112456
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|28|Patrick Hisel|Libertarian|2473
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|28|Michael D. Cary|Green|1407
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|29|Gene Green|Democrat|86053
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|29|James Stanczak|Libertarian|4996
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|29|Maria Selva|Green|4562
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|30|Travis Washington, Jr.|Republican|41222
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|30|Eddie Bernice Johnson|Democrat|171059
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|30|Ed Rankin|Libertarian|4733
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|31|John R. Carter|Republican|145348
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|31|Stephen M. Wyman|Democrat|82977
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|31|Ethan Garofolo|Libertarian|8862
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|32|Pete Sessions|Republican|146653
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|32|Katherine Savers McGovern|Democrat|99288
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|32|Seth Hollist|Libertarian|5695
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|33|Chuck Bradley|Republican|30252
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|33|Marc Veasey|Democrat|85114
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|33|Ed Lindsay|Green|2009
