Date|State|Office|District|Candidate|Party|Votes
11/2/2010|ALABAMA|FOR UNITED STATES SENATOR||Richard C. Shelby|Republican|968181
11/2/2010|ALABAMA|FOR UNITED STATES SENATOR||William G. Barnes|Democrat|515619
11/2/2010|ALABAMA|FOR UNITED STATES SENATOR||Write-in||1699
11/2/2010|ALABAMA|FOR UNITED STATES REPRESENTATIVE|1|Jo Bonner|Republican|129063
11/2/2010|ALABAMA|FOR UNITED STATES REPRESENTATIVE|1|David Walter|Constitution Party of Alabama|26357
11/2/2010|ALABAMA|FOR UNITED STATES REPRESENTATIVE|1|Write-in||861
11/2/2010|ALABAMA|FOR UNITED STATES REPRESENTATIVE|2|Martha Roby|Republican|111645
11/2/2010|ALABAMA|FOR UNITED STATES REPRESENTATIVE|2|Bobby Bright|Democrat|106865
11/2/2010|ALABAMA|FOR UNITED STATES REPRESENTATIVE|2|Write-in||518
11/2/2010|ALABAMA|FOR UNITED STATES REPRESENTATIVE|3|Mike Rogers|Republican|117736
11/2/2010|ALABAMA|FOR UNITED STATES REPRESENTATIVE|3|Steve Segrest|Democrat|80204
11/2/2010|ALABAMA|FOR UNITED STATES REPRESENTATIVE|3|Write-in||199
11/2/2010|ALABAMA|FOR UNITED STATES REPRESENTATIVE|4|Robert B. Aderholt|Republican|167714
11/2/2010|ALABAMA|FOR UNITED STATES REPRESENTATIVE|4|Write-in||2007
11/2/2010|ALABAMA|FOR UNITED STATES REPRESENTATIVE|5|Mo Brooks|Republican|131109
11/2/2010|ALABAMA|FOR UNITED STATES REPRESENTATIVE|5|Steve Raby|Democrat|95192
11/2/2010|ALABAMA|FOR UNITED STATES REPRESENTATIVE|5|Write-in||189
11/2/2010|ALABAMA|FOR UNITED STATES REPRESENTATIVE|6|Spencer Bachus|Republican|205288
11/2/2010|ALABAMA|FOR UNITED STATES REPRESENTATIVE|6|Write-in||4076
11/2/2010|ALABAMA|FOR UNITED STATES REPRESENTATIVE|7|Don Chamberlain|Republican|51890
11/2/2010|ALABAMA|FOR UNITED STATES REPRESENTATIVE|7|Terri A. Sewell|Democrat|136696
11/2/2010|ALABAMA|FOR UNITED STATES REPRESENTATIVE|7|Write-in||138
11/2/2010|ALASKA|FOR UNITED STATES SENATOR||Joe Miller|Republican|90839
11/2/2010|ALASKA|FOR UNITED STATES SENATOR||Joe Miller|Write-in|21
11/2/2010|ALASKA|FOR UNITED STATES SENATOR||Scott T. McAdams|Democrat|60045
11/2/2010|ALASKA|FOR UNITED STATES SENATOR||Fredrick "David" Haase|Libertarian|1459
11/2/2010|ALASKA|FOR UNITED STATES SENATOR||Tim Carter|Nonaffiliated|927
11/2/2010|ALASKA|FOR UNITED STATES SENATOR||Ted Gianoutsos|Nonaffiliated|458
11/2/2010|ALASKA|FOR UNITED STATES SENATOR||Other||602
11/2/2010|ALASKA|FOR UNITED STATES SENATOR||Write-in||61
11/2/2010|ALASKA|FOR UNITED STATES SENATOR||Lisa Murkowski|Write-in|101091
11/2/2010|ALASKA|FOR UNITED STATES REPRESENTATIVE|AT LARGE|Don Young|Republican|175384
11/2/2010|ALASKA|FOR UNITED STATES REPRESENTATIVE|AT LARGE|Harry T. Crawford, Jr.|Democrat|77606
11/2/2010|ALASKA|FOR UNITED STATES REPRESENTATIVE|AT LARGE|Write-in||1345
11/2/2010|ARIZONA|FOR UNITED STATES SENATOR||John McCain|Republican|1005615
11/2/2010|ARIZONA|FOR UNITED STATES SENATOR||Rodney Glassman|Democrat|592011
11/2/2010|ARIZONA|FOR UNITED STATES SENATOR||David F. Nolan|Libertarian|80097
11/2/2010|ARIZONA|FOR UNITED STATES SENATOR||Jerry Joslyn|Green|24603
11/2/2010|ARIZONA|FOR UNITED STATES SENATOR||Ian Gilyeat|Write-in|5938
11/2/2010|ARIZONA|FOR UNITED STATES SENATOR||Loyd Ellis|Write-in|160
11/2/2010|ARIZONA|FOR UNITED STATES SENATOR||Santos Chavez|Write-in|39
11/2/2010|ARIZONA|FOR UNITED STATES SENATOR||Sydney Dudikoff|Write-in|14
11/2/2010|ARIZONA|FOR UNITED STATES SENATOR||Ray J. Caplette|Write-in|7
11/2/2010|ARIZONA|FOR UNITED STATES REPRESENTATIVE|1|Paul Gosar|Republican|112816
11/2/2010|ARIZONA|FOR UNITED STATES REPRESENTATIVE|1|Ann Kirkpatrick|Democrat|99233
11/2/2010|ARIZONA|FOR UNITED STATES REPRESENTATIVE|1|Nicole Patti|Libertarian|14869
11/2/2010|ARIZONA|FOR UNITED STATES REPRESENTATIVE|2|Trent Franks|Republican|173173
11/2/2010|ARIZONA|FOR UNITED STATES REPRESENTATIVE|2|John Thrasher|Democrat|82891
11/2/2010|ARIZONA|FOR UNITED STATES REPRESENTATIVE|2|Powell Gammill|Libertarian|10820
11/2/2010|ARIZONA|FOR UNITED STATES REPRESENTATIVE|2|William Crum|Write-in|8
11/2/2010|ARIZONA|FOR UNITED STATES REPRESENTATIVE|2|Mark Rankin|Write-in|2
11/2/2010|ARIZONA|FOR UNITED STATES REPRESENTATIVE|3|Ben Quayle|Republican|108689
11/2/2010|ARIZONA|FOR UNITED STATES REPRESENTATIVE|3|Jon Hulburd|Democrat|85610
11/2/2010|ARIZONA|FOR UNITED STATES REPRESENTATIVE|3|Michael Shoen|Libertarian|10478
11/2/2010|ARIZONA|FOR UNITED STATES REPRESENTATIVE|3|Leonard Clark|Green|3294
11/2/2010|ARIZONA|FOR UNITED STATES REPRESENTATIVE|4|Janet Contreras|Republican|25300
11/2/2010|ARIZONA|FOR UNITED STATES REPRESENTATIVE|4|Ed Pastor|Democrat|61524
11/2/2010|ARIZONA|FOR UNITED STATES REPRESENTATIVE|4|Joe Cobb|Libertarian|2718
11/2/2010|ARIZONA|FOR UNITED STATES REPRESENTATIVE|4|Rebecca Dewitt|Green|2365
11/2/2010|ARIZONA|FOR UNITED STATES REPRESENTATIVE|5|David Schweikert|Republican|110374
11/2/2010|ARIZONA|FOR UNITED STATES REPRESENTATIVE|5|Harry E. Mitchell|Democrat|91749
11/2/2010|ARIZONA|FOR UNITED STATES REPRESENTATIVE|5|Nick Coons|Libertarian|10127
11/2/2010|ARIZONA|FOR UNITED STATES REPRESENTATIVE|6|Jeff Flake|Republican|165649
11/2/2010|ARIZONA|FOR UNITED STATES REPRESENTATIVE|6|Rebecca Schneider|Democrat|72615
11/2/2010|ARIZONA|FOR UNITED STATES REPRESENTATIVE|6|Darell Tapp|Libertarian|7712
11/2/2010|ARIZONA|FOR UNITED STATES REPRESENTATIVE|6|Richard Grayson|Green|3407
11/2/2010|ARIZONA|FOR UNITED STATES REPRESENTATIVE|7|Ruth McClung|Republican|70385
11/2/2010|ARIZONA|FOR UNITED STATES REPRESENTATIVE|7|Raúl M. Grijalva|Democrat|79935
11/2/2010|ARIZONA|FOR UNITED STATES REPRESENTATIVE|7|Harley Meyer|Independent|4506
11/2/2010|ARIZONA|FOR UNITED STATES REPRESENTATIVE|7|George Keane|Libertarian|4318
11/2/2010|ARIZONA|FOR UNITED STATES REPRESENTATIVE|8|Jesse Kelly|Republican|134124
11/2/2010|ARIZONA|FOR UNITED STATES REPRESENTATIVE|8|Gabrielle Giffords|Democrat|138280
11/2/2010|ARIZONA|FOR UNITED STATES REPRESENTATIVE|8|Steven Stoltz|Libertarian|11174
11/2/2010|ARKANSAS|FOR UNITED STATES SENATOR||John Boozman|Republican|451618
11/2/2010|ARKANSAS|FOR UNITED STATES SENATOR||Blanche L. Lincoln|Democrat|288156
11/2/2010|ARKANSAS|FOR UNITED STATES SENATOR||Trevor Drown|Independent|25234
11/2/2010|ARKANSAS|FOR UNITED STATES SENATOR||John Laney Gray III|Green|14430
11/2/2010|ARKANSAS|FOR UNITED STATES SENATOR||Write-in||376
11/2/2010|ARKANSAS|FOR UNITED STATES SENATOR||Stephan "Troublemaker" Hercher|Write-in|143
11/2/2010|ARKANSAS|FOR UNITED STATES REPRESENTATIVE|1|Rick Crawford|Republican|93224
11/2/2010|ARKANSAS|FOR UNITED STATES REPRESENTATIVE|1|Chad Causey|Democrat|78267
11/2/2010|ARKANSAS|FOR UNITED STATES REPRESENTATIVE|1|Ken Adler|Green|8320
11/2/2010|ARKANSAS|FOR UNITED STATES REPRESENTATIVE|1|Mickey Higgins|Write-in|196
11/2/2010|ARKANSAS|FOR UNITED STATES REPRESENTATIVE|1|Write-in||9
11/2/2010|ARKANSAS|FOR UNITED STATES REPRESENTATIVE|2|Tim Griffin|Republican|122091
11/2/2010|ARKANSAS|FOR UNITED STATES REPRESENTATIVE|2|Joyce Elliott|Democrat|80687
11/2/2010|ARKANSAS|FOR UNITED STATES REPRESENTATIVE|2|Lance Levi|Independent|4421
11/2/2010|ARKANSAS|FOR UNITED STATES REPRESENTATIVE|2|Lewis Kennedy|Green|3599
11/2/2010|ARKANSAS|FOR UNITED STATES REPRESENTATIVE|2|Write-in||40
11/2/2010|ARKANSAS|FOR UNITED STATES REPRESENTATIVE|2|Danial Suits|Write-in|14
11/2/2010|ARKANSAS|FOR UNITED STATES REPRESENTATIVE|3|Steve Womack|Republican|148581
11/2/2010|ARKANSAS|FOR UNITED STATES REPRESENTATIVE|3|David Whitaker|Democrat|56542
11/2/2010|ARKANSAS|FOR UNITED STATES REPRESENTATIVE|4|Beth Anne Rankin|Republican|71526
11/2/2010|ARKANSAS|FOR UNITED STATES REPRESENTATIVE|4|Mike Ross|Democrat|102479
11/2/2010|ARKANSAS|FOR UNITED STATES REPRESENTATIVE|4|Josh Drake|Green|4129
11/2/2010|CALIFORNIA|FOR UNITED STATES SENATOR||Carly Fiorina|Republican|4217366
11/2/2010|CALIFORNIA|FOR UNITED STATES SENATOR||Barbara Boxer|Democrat|5218441
11/2/2010|CALIFORNIA|FOR UNITED STATES SENATOR||Gail K. Lightfoot|Libertarian|175242
11/2/2010|CALIFORNIA|FOR UNITED STATES SENATOR||Edward C. Noonan|American Independent|125441
11/2/2010|CALIFORNIA|FOR UNITED STATES SENATOR||Duane Roberts|Green|128510
11/2/2010|CALIFORNIA|FOR UNITED STATES SENATOR||Marsha Feinland|Peace and Freedom|135093
11/2/2010|CALIFORNIA|FOR UNITED STATES SENATOR||James E. Harris|Write-in|41
11/2/2010|CALIFORNIA|FOR UNITED STATES SENATOR||Connor Vlakancic|Write-in|11
11/2/2010|CALIFORNIA|FOR UNITED STATES SENATOR||Jerry Leon Carroll|Write-in|10
11/2/2010|CALIFORNIA|FOR UNITED STATES SENATOR||Hans J. Kugler|Write-in|5
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|1|Loren Hanks|Republican|72803
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|1|Mike Thompson|Democrat|147307
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|1|Mike Rodrigues|Libertarian|5996
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|1|Carol Wolman|Green|8486
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|2|Wally Herger|Republican|130837
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|2|Jim Reed|Democrat|98092
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|2|Mark A. Jensen|Write-in|11
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|3|Daniel E. Lungren|Republican|131169
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|3|Ami Bera|Democrat|113128
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|3|Douglas Arthur Tuma|Libertarian|6275
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|3|Jerry L. Leidecker|American Independent|6577
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|3|Mike Roskey|Peace and Freedom|4789
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|4|Tom McClintock|Republican|186397
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|4|Clint Curtis|Democrat|95653
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|4|Benjamin "Ben" Emery|Green|22179
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|5|Paul A. Smith|Republican|43577
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|5|Doris O. Matsui|Democrat|124220
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|5|Gerald Allen Frink|Peace and Freedom|4594
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|5|Tony Lacy|Write-in|19
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|6|Jim Judd|Republican|77361
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|6|Lynn C. Woolsey|Democrat|172216
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|6|Joel Smolen|Libertarian|5660
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|6|Eugene E. Ruyle|Peace and Freedom|5915
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|7|Rick Tubbs|Republican|56764
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|7|George Miller|Democrat|122435
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|8|John Dennis|Republican|31711
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|8|Nancy Pelosi|Democrat|167957
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|8|Philip Berg|Libertarian|4843
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|8|Gloria E. La Riva|Peace and Freedom|5161
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|8|Summer Shields|Write-in|24
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|9|Gerald Hashimoto|Republican|23054
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|9|Barbara Lee|Democrat|180400
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|9|James Eyer|Libertarian|4113
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|9|Dave Heller|Green|4848
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|9|Larry Allen|Peace and Freedom|1670
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|10|Gary Clift|Republican|88512
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|10|John Garamendi|Democrat|137578
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|10|Jeremy Cloward|Green|7716
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|11|David Harmer|Republican|112703
