Date|State|Office|District|Candidate|Party|Votes
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|11|Jerry McNerney|Democrat|115361
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|11|David Christensen|American Independent|12439
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|12|Mike Moloney|Republican|44475
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|12|Jackie Speier|Democrat|152044
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|12|Mark Paul Williams|Libertarian|4611
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|12|Joseph Michael Harding|Write-in|32
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|13|Forest Baker|Republican|45575
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|13|Fortney Pete Stark|Democrat|118278
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|13|Chris Pareja|Write-in|525
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|14|Dave Chapman|Republican|60917
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|14|Anna G. Eshoo|Democrat|151217
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|14|Paul Lazaga|Libertarian|6735
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|15|Scott Kirkland|Republican|60468
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|15|Michael M. Honda|Democrat|126147
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|16|Daniel Sahagun|Republican|37913
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|16|Zoe Lofgren|Democrat|105841
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|16|Edward Gonzalez|Libertarian|12304
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|17|Jeff Taylor|Republican|53176
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|17|Sam Farr|Democrat|118734
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|17|Mary V. Larkin|Libertarian|2742
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|17|Eric Petersen|Green|3397
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|17|Ronald P. Kabat|Write-in|90
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|18|Michael Clare Berryhill, Sr.|Republican|51716
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|18|Dennis A. Cardoza|Democrat|72853
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|19|Jeff Denham|Republican|128394
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|19|Loraine Goodwin|Democrat|69912
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|19|Les Marsden|Write-in|596
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|20|Andy Vidak|Republican|43197
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|20|Jim Costa|Democrat|46247
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|21|Devin Nunes|Republican|135979
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|22|Kevin McCarthy|Republican|173490
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|22|John Uebersax|Write-in|2173
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|23|Tom Watson|Republican|72744
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|23|Lois Capps|Democrat|111768
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|23|John V. Hager|Independent|5625
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|23|Darrell M. Stafford|Libertarian|3326
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|24|Elton Gallegly|Republican|144055
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|24|Timothy J. Allison|Democrat|96279
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|25|Howard P. "Buck" McKeon|Republican|118308
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|25|Jackie Conaway|Democrat|73028
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|26|David Dreier|Republican|112774
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|26|Russ Warner|Democrat|76093
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|26|Randall Weissbuch|Libertarian|6696
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|26|David L. Miller|American Independent|12784
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|27|Mark Reed|Republican|55056
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|27|Brad Sherman|Democrat|102927
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|28|Merlin Froyd|Republican|28493
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|28|Howard L. Berman|Democrat|88385
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|28|Carlos A. Rodriguez|Libertarian|10229
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|29|John P. Colbert|Republican|51534
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|29|Adam B. Schiff|Democrat|104374
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|29|William P. Cushing|Libertarian|5218
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|30|Charles E. Wilkerson|Republican|75948
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|30|Henry A. Waxman|Democrat|153663
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|30|Erich D. Miller|Libertarian|5021
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|30|Richard R. Castaldo|Peace and Freedom|3115
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|31|Stephen C. Smith|Republican|14740
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|31|Xavier Becerra|Democrat|76363
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|31|Sal Genovese|Write-in|3
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|32|Edward "Ed" Schmerling|Republican|31697
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|32|Judy Chu|Democrat|77759
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|33|James L. Andion|Republican|21342
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|33|Karen Bass|Democrat|131990
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|33|Mervin Leon Evans|Write-in|1
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|34|Wayne Miller|Republican|20457
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|34|Lucille Roybal-Allard|Democrat|69382
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|35|K. Bruce Brown|Republican|25561
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|35|Maxine Waters|Democrat|98131
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|35|Suleiman Charles Edmondson|Write-in|2
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|36|Mattie Fein|Republican|66706
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|36|Jane Harman|Democrat|114489
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|36|Herb Peters|Libertarian|10840
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|37|Star Parker|Republican|29159
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|37|Laura Richardson|Democrat|85799
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|37|Nicholas Dibs|Independent|10560
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|38|Robert Vaughn|Republican|30883
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|38|Grace F. Napolitano|Democrat|85459
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|39|Larry S. Andre|Republican|42037
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|39|Linda T. Sánchez|Democrat|81590
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|39|John A. Smith|American Independent|5334
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|40|Edward R. Royce|Republican|119455
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|40|Christina Avalos|Democrat|59400
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|41|Jerry Lewis|Republican|127857
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|41|Pat Meagher|Democrat|74394
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|41|Pamela Zander|Write-in|35
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|42|Gary G. Miller|Republican|127161
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|42|Michael Williamson|Democrat|65122
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|42|Mark Lambert|Libertarian|12115
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|43|Scott Folkens|Republican|36890
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|43|Joe Baca|Democrat|70026
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|44|Ken Calvert|Republican|107482
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|44|Bill Hedrick|Democrat|85784
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|45|Mary Bono Mack|Republican|106472
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|45|Steve Pougnet|Democrat|87141
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|45|Bill Lussenheide|American Independent|13188
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|46|Dana Rohrabacher|Republican|139822
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|46|Ken Arnold|Democrat|84940
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|46|Jay Shah|Write-in|20
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|47|Van Tran|Republican|37679
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|47|Loretta Sanchez|Democrat|50832
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|47|Cecilia "Ceci" Iglesias|Independent|7443
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|48|John Campbell|Republican|145481
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|48|Beth Krom|Democrat|88465
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|48|Mike Binkley|Libertarian|8773
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|49|Darrell E. Issa|Republican|119088
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|49|Howard Katz|Democrat|59714
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|49|Mike Paster|Libertarian|4290
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|49|Dion Clark|American Independent|6585
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|50|Brian P. Bilbray|Republican|142247
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|50|Francine Busby|Democrat|97818
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|50|Lars Grossmith|Libertarian|5546
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|50|Miriam E. Clark|Peace and Freedom|5470
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|51|Nick Popaditch|Republican|57488
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|51|Bob Filner|Democrat|86423
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|51|Marcus Jay Shapiro|Write-in|5
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|52|Duncan Hunter|Republican|139460
11/2/2010|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|52|Ray Lutz|Democrat|70870
