date|state|office|district|candidate|party|votes
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|15|Hugh Bussell|Republican|43150
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|15|Eric Swalwell|Democrat|99756
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|16|Johnny Tacherra|Republican|44943
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|16|Jim Costa|Democrat|46277
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|17|Michael M. Honda|Democrat|69561
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|17|Ro Khanna|Democrat|64847
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|18|Richard B. Fox|Republican|63326
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|18|Anna G. Eshoo|Democrat|133060
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|19|Zoe Lofgren|Democrat|85888
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|19|Robert Murray|Democrat|41900
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|20|Sam Farr|Democrat|106034
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|20|Ronald Paul Kabat|No Party Preference|35010
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|21|David G. Valadao|Republican|45907
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|21|Amanda Renteria|Democrat|33470
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|22|Devin Nunes|Republican|96053
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|22|Suzanna “Sam” Aguilera-Marrero|Democrat|37289
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|23|Kevin McCarthy|Republican|100317
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|23|Raul Garcia|Democrat|33726
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|24|Chris Mitchum|Republican|95566
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|24|Lois Capps|Democrat|103228
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|25|Steve Knight|Republican|60847
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|25|Tony Strickland|Republican|53225
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|26|Jeff Gorell|Republican|82653
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|26|Julia Brownley|Democrat|87176
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|27|Jack Orswell|Republican|51852
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|27|Judy Chu|Democrat|75728
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|28|Adam B. Schiff|Democrat|91996
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|28|Steve Stokes|No Party Preference|28268
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|29|William O’Callaghan Leader|Republican|17045
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|29|Tony Cárdenas|Democrat|50096
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|30|Mark S. Reed|Republican|45315
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|30|Brad Sherman|Democrat|86568
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|31|Paul Chabot|Republican|48162
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|31|Pete Aguilar|Democrat|51622
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|32|Arturo Enrique Alas|Republican|34053
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|32|Grace F. Napolitano|Democrat|50353
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|33|Elan Carr|Republican|74700
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|33|Ted Lieu|Democrat|108331
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|34|Xavier Becerra|Democrat|44697
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|34|Adrienne Nicole Edwards|Democrat|16924
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|35|Norma J. Torres|Democrat|39502
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|35|Christina Gagnier|Democrat|22753
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|36|Brian Nestande|Republican|61457
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|36|Raul Ruiz|Democrat|72682
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|37|R. Adam King|Republican|18051
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|37|Karen Bass|Democrat|96787
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|38|Benjamin Campos|Republican|40288
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|38|Linda T. Sánchez|Democrat|58192
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|39|Edward R. Royce|Republican|91319
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|39|Peter O. Anderson|Democrat|41906
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|40|Lucille Roybal-Allard|Democrat|30208
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|40|David Sanchez|Democrat|19171
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|41|Steve Adams|Republican|35936
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|41|Mark Takano|Democrat|46948
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|42|Ken Calvert|Republican|74540
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|42|Tim Sheridan|Democrat|38850
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|43|John Wood, Jr.|Republican|28521
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|43|Maxine Waters|Democrat|69681
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|44|Janice Hahn|Democrat|59670
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|44|Adam Shbeita|Peace and Freedom|9192
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|45|Mimi Walters|Republican|106083
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|45|Drew E. Leavens|Democrat|56819
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|46|Adam Nick|Republican|33577
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|46|Loretta Sanchez|Democrat|49738
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|47|Andy Whallon|Republican|54309
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|47|Alan S. Lowenthal|Democrat|69091
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|48|Dana Rohrabacher|Republican|112082
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|48|Suzanne Joyce Savary|Democrat|62713
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|49|Darrell E. Issa|Republican|98161
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|49|Dave Peiser|Democrat|64981
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|50|Duncan Hunter|Republican|111997
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|50|James H. Kimber|Democrat|45302
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|51|Stephen Meade|Republican|25577
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|51|Juan Vargas|Democrat|56373
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|52|Carl DeMaio|Republican|92746
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|52|Scott H. Peters|Democrat|98826
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|53|Larry A. Wilske|Republican|60940
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|53|Susan A. Davis|Democrat|87104
11/4/2014|COLORADO|FOR UNITED STATES SENATOR||Cory Gardner|Republican|983891
11/4/2014|COLORADO|FOR UNITED STATES SENATOR||Mark Udall|Democrat|944203
11/4/2014|COLORADO|FOR UNITED STATES SENATOR||Gaylon Kent|Libertarian|52876
11/4/2014|COLORADO|FOR UNITED STATES SENATOR||Steve Shogan|Unaffiliated|29472
11/4/2014|COLORADO|FOR UNITED STATES SENATOR||Raúl Acosta|Unaffiliated|24151
11/4/2014|COLORADO|FOR UNITED STATES SENATOR||Bill Hammons|Unity Party of Colorado|6427
11/4/2014|COLORADO|FOR UNITED STATES SENATOR||Willoughby|Write-in|21
11/4/2014|COLORADO|FOR UNITED STATES SENATOR||Kathleen Rosewater Cunningham|Write-in|17
11/4/2014|COLORADO|FOR UNITED STATES REPRESENTATIVE|1|Martin Walsh|Republican|80682
11/4/2014|COLORADO|FOR UNITED STATES REPRESENTATIVE|1|Diana DeGette|Democrat|183281
11/4/2014|COLORADO|FOR UNITED STATES REPRESENTATIVE|1|Frank Atwood|Libertarian|9292
11/4/2014|COLORADO|FOR UNITED STATES REPRESENTATIVE|1|Danny E. Stroud|Unaffiliated|5236
11/4/2014|COLORADO|FOR UNITED STATES REPRESENTATIVE|1|Daniel Kirschler|Write-in|2
11/4/2014|COLORADO|FOR UNITED STATES REPRESENTATIVE|1|Logan Blackburn|Write-in|1
11/4/2014|COLORADO|FOR UNITED STATES REPRESENTATIVE|2|George Leing|Republican|149645
11/4/2014|COLORADO|FOR UNITED STATES REPRESENTATIVE|2|Jared Polis|Democrat|196300
11/4/2014|COLORADO|FOR UNITED STATES REPRESENTATIVE|3|Scott R. Tipton|Republican|163011
11/4/2014|COLORADO|FOR UNITED STATES REPRESENTATIVE|3|Abel J. Tapia|Democrat|100364
11/4/2014|COLORADO|FOR UNITED STATES REPRESENTATIVE|3|Tisha T. Casida|Unaffiliated|11294
11/4/2014|COLORADO|FOR UNITED STATES REPRESENTATIVE|3|Travis Mero|Libertarian|6472
11/4/2014|COLORADO|FOR UNITED STATES REPRESENTATIVE|4|Ken Buck|Republican|185292
11/4/2014|COLORADO|FOR UNITED STATES REPRESENTATIVE|4|Vic Meyers|Democrat|83727
11/4/2014|COLORADO|FOR UNITED STATES REPRESENTATIVE|4|Jess Loban|Libertarian|9472
11/4/2014|COLORADO|FOR UNITED STATES REPRESENTATIVE|4|Grant Doherty|Unaffiliated|8016
11/4/2014|COLORADO|FOR UNITED STATES REPRESENTATIVE|5|Doug Lamborn|Republican|157182
11/4/2014|COLORADO|FOR UNITED STATES REPRESENTATIVE|5|Irv Halter|Democrat|105673
11/4/2014|COLORADO|FOR UNITED STATES REPRESENTATIVE|6|Mike Coffman|Republican|143467
11/4/2014|COLORADO|FOR UNITED STATES REPRESENTATIVE|6|Andrew Romanoff|Democrat|118847
11/4/2014|COLORADO|FOR UNITED STATES REPRESENTATIVE|6|Norm Olsen|Libertarian|8623
11/4/2014|COLORADO|FOR UNITED STATES REPRESENTATIVE|6|Gary Swing|Green|5503
11/4/2014|COLORADO|FOR UNITED STATES REPRESENTATIVE|7|Don Ytterberg|Republican|120918
11/4/2014|COLORADO|FOR UNITED STATES REPRESENTATIVE|7|Ed Perlmutter|Democrat|148225
11/4/2014|CONNECTICUT|FOR UNITED STATES REPRESENTATIVE|1|Matthew M. Corey|Republican|78609
11/4/2014|CONNECTICUT|FOR UNITED STATES REPRESENTATIVE|1|John B. Larson|Democrat|127430
11/4/2014|CONNECTICUT|FOR UNITED STATES REPRESENTATIVE|1|John B. Larson|Working Families|8395
11/4/2014|CONNECTICUT|FOR UNITED STATES REPRESENTATIVE|1|Jeffery Russell|Green|3447
11/4/2014|CONNECTICUT|FOR UNITED STATES REPRESENTATIVE|2|Lori Hopkins-Cavanagh|Republican|80837
11/4/2014|CONNECTICUT|FOR UNITED STATES REPRESENTATIVE|2|Joe Courtney|Democrat|131294
11/4/2014|CONNECTICUT|FOR UNITED STATES REPRESENTATIVE|2|Joe Courtney|Working Families|10654
11/4/2014|CONNECTICUT|FOR UNITED STATES REPRESENTATIVE|2|Daniel Reale|Libertarian|2602
11/4/2014|CONNECTICUT|FOR UNITED STATES REPRESENTATIVE|2|William C. Clyde|Green|2549
11/4/2014|CONNECTICUT|FOR UNITED STATES REPRESENTATIVE|3|James E. Brown|Republican|69454
11/4/2014|CONNECTICUT|FOR UNITED STATES REPRESENTATIVE|3|Rosa L. DeLauro|Democrat|130009
11/4/2014|CONNECTICUT|FOR UNITED STATES REPRESENTATIVE|3|Rosa L. DeLauro|Working Families|10476
11/4/2014|CONNECTICUT|FOR UNITED STATES REPRESENTATIVE|4|Dan Debicella|Republican|88209
11/4/2014|CONNECTICUT|FOR UNITED STATES REPRESENTATIVE|4|Dan Debicella|Independent|3713
11/4/2014|CONNECTICUT|FOR UNITED STATES REPRESENTATIVE|4|James A. Himes|Democrat|101401
11/4/2014|CONNECTICUT|FOR UNITED STATES REPRESENTATIVE|4|James A. Himes|Working Families|5472
11/4/2014|CONNECTICUT|FOR UNITED STATES REPRESENTATIVE|4|Stephen A. Miller|Write-in|3
11/4/2014|CONNECTICUT|FOR UNITED STATES REPRESENTATIVE|4|Sophie E. Pastore|Write-in|2
11/4/2014|CONNECTICUT|FOR UNITED STATES REPRESENTATIVE|5|Mark Greenberg|Republican|92404
11/4/2014|CONNECTICUT|FOR UNITED STATES REPRESENTATIVE|5|Mark Greenberg|Independent|5363
11/4/2014|CONNECTICUT|FOR UNITED STATES REPRESENTATIVE|5|Elizabeth H. Esty|Democrat|106256
11/4/2014|CONNECTICUT|FOR UNITED STATES REPRESENTATIVE|5|Elizabeth H. Esty|Working Families|7308
11/4/2014|CONNECTICUT|FOR UNITED STATES REPRESENTATIVE|5|John J. Pistone|Petitioning Candidate|1970
11/4/2014|DELAWARE|FOR UNITED STATES SENATOR||Kevin Wade|Republican|98823
11/4/2014|DELAWARE|FOR UNITED STATES SENATOR||Christopher A. Coons|Democrat|130655
11/4/2014|DELAWARE|FOR UNITED STATES SENATOR||Andrew Groff|Green|4560
11/4/2014|DELAWARE|FOR UNITED STATES REPRESENTATIVE|AT LARGE|Rose Izzo|Republican|85146
11/4/2014|DELAWARE|FOR UNITED STATES REPRESENTATIVE|AT LARGE|John C. Carney, Jr.|Democrat|137251
11/4/2014|DELAWARE|FOR UNITED STATES REPRESENTATIVE|AT LARGE|Bernard August|Green|4801
11/4/2014|DELAWARE|FOR UNITED STATES REPRESENTATIVE|AT LARGE|Scott Gesty|Libertarian|4419
11/4/2014|FLORIDA|FOR UNITED STATES REPRESENTATIVE|1|Jeff Miller|Republican|165086
11/4/2014|FLORIDA|FOR UNITED STATES REPRESENTATIVE|1|Jim Bryan|Democrat|54976
11/4/2014|FLORIDA|FOR UNITED STATES REPRESENTATIVE|1|Mark Wichern|No Party Affiliation|15281
11/4/2014|FLORIDA|FOR UNITED STATES REPRESENTATIVE|2|Steve Southerland II|Republican|123262
11/4/2014|FLORIDA|FOR UNITED STATES REPRESENTATIVE|2|Gwen Graham|Democrat|126096
11/4/2014|FLORIDA|FOR UNITED STATES REPRESENTATIVE|2|Luther Lee|Write-in|422
11/4/2014|FLORIDA|FOR UNITED STATES REPRESENTATIVE|3|Ted S. Yoho|Republican|148691
11/4/2014|FLORIDA|FOR UNITED STATES REPRESENTATIVE|3|Marihelen Wheeler|Democrat|73910
11/4/2014|FLORIDA|FOR UNITED STATES REPRESENTATIVE|3|Howard Term Limits Lawson|No Party Affiliation|6208
11/4/2014|FLORIDA|FOR UNITED STATES REPRESENTATIVE|4|Ander Crenshaw|Republican|177887
11/4/2014|FLORIDA|FOR UNITED STATES REPRESENTATIVE|4|Paula Moser-Bartlett|No Party Affiliation|35663
11/4/2014|FLORIDA|FOR UNITED STATES REPRESENTATIVE|4|Gary L. Koniz|No Party Affiliation|13690
11/4/2014|FLORIDA|FOR UNITED STATES REPRESENTATIVE|4|Deborah Katz Pueschel|Write-in|13
