date|state|office|district|candidate|party|votes
11/4/2014|ALABAMA|FOR UNITED STATES SENATOR||Jeff Sessions|Republican|795606
11/4/2014|ALABAMA|FOR UNITED STATES SENATOR||Write-in||22484
11/4/2014|ALABAMA|FOR UNITED STATES REPRESENTATIVE|1|Bradley Byrne|Republican|103758
11/4/2014|ALABAMA|FOR UNITED STATES REPRESENTATIVE|1|Burton R. LeFlore|Democrat|48278
11/4/2014|ALABAMA|FOR UNITED STATES REPRESENTATIVE|1|Write-in||198
11/4/2014|ALABAMA|FOR UNITED STATES REPRESENTATIVE|2|Martha Roby|Republican|113103
11/4/2014|ALABAMA|FOR UNITED STATES REPRESENTATIVE|2|Erick Wright|Democrat|54692
11/4/2014|ALABAMA|FOR UNITED STATES REPRESENTATIVE|2|Write-in||157
11/4/2014|ALABAMA|FOR UNITED STATES REPRESENTATIVE|3|Mike Rogers|Republican|103558
11/4/2014|ALABAMA|FOR UNITED STATES REPRESENTATIVE|3|Jesse T. Smith|Democrat|52816
11/4/2014|ALABAMA|FOR UNITED STATES REPRESENTATIVE|3|Write-in||246
11/4/2014|ALABAMA|FOR UNITED STATES REPRESENTATIVE|4|Robert B. Aderholt|Republican|132831
11/4/2014|ALABAMA|FOR UNITED STATES REPRESENTATIVE|4|Write-in||1921
11/4/2014|ALABAMA|FOR UNITED STATES REPRESENTATIVE|5|Mo Brooks|Republican|115338
11/4/2014|ALABAMA|FOR UNITED STATES REPRESENTATIVE|5|Mark Bray|Independent|39005
11/4/2014|ALABAMA|FOR UNITED STATES REPRESENTATIVE|5|Write-in||631
11/4/2014|ALABAMA|FOR UNITED STATES REPRESENTATIVE|6|Gary Palmer|Republican|135945
11/4/2014|ALABAMA|FOR UNITED STATES REPRESENTATIVE|6|Mark Lester|Democrat|42291
11/4/2014|ALABAMA|FOR UNITED STATES REPRESENTATIVE|6|Write-in||213
11/4/2014|ALABAMA|FOR UNITED STATES REPRESENTATIVE|7|Terri A. Sewell|Democrat|133687
11/4/2014|ALABAMA|FOR UNITED STATES REPRESENTATIVE|7|Write-in||2212
11/4/2014|ALASKA|FOR UNITED STATES SENATOR||Dan Sullivan|Republican|135445
11/4/2014|ALASKA|FOR UNITED STATES SENATOR||Mark Begich|Democrat|129431
11/4/2014|ALASKA|FOR UNITED STATES SENATOR||Mark S. Fish|Libertarian|10512
11/4/2014|ALASKA|FOR UNITED STATES SENATOR||Ted Gianoutsos|Nonaffiliated|5636
11/4/2014|ALASKA|FOR UNITED STATES SENATOR||Write-in||1376
11/4/2014|ALASKA|FOR UNITED STATES REPRESENTATIVE|AT LARGE|Don Young|Republican|142572
11/4/2014|ALASKA|FOR UNITED STATES REPRESENTATIVE|AT LARGE|Forrest Dunbar|Democrat|114602
11/4/2014|ALASKA|FOR UNITED STATES REPRESENTATIVE|AT LARGE|Jim C. McDermott|Libertarian|21290
11/4/2014|ALASKA|FOR UNITED STATES REPRESENTATIVE|AT LARGE|Write-in||1277
11/4/2014|ARIZONA|FOR UNITED STATES REPRESENTATIVE|1|Andy Tobin|Republican|87723
11/4/2014|ARIZONA|FOR UNITED STATES REPRESENTATIVE|1|Ann Kirkpatrick|Democrat|97391
11/4/2014|ARIZONA|FOR UNITED STATES REPRESENTATIVE|2|Martha McSally|Republican|109704
11/4/2014|ARIZONA|FOR UNITED STATES REPRESENTATIVE|2|Ron Barber|Democrat|109543
11/4/2014|ARIZONA|FOR UNITED STATES REPRESENTATIVE|2|Sampson U. Ramirez|Write-in (None)|56
11/4/2014|ARIZONA|FOR UNITED STATES REPRESENTATIVE|2|Sydney Dudikoff|Write-in (Republican)|48
11/4/2014|ARIZONA|FOR UNITED STATES REPRESENTATIVE|3|Gabby Saucedo Mercer|Republican|46185
11/4/2014|ARIZONA|FOR UNITED STATES REPRESENTATIVE|3|Raúl M. Grijalva|Democrat|58192
11/4/2014|ARIZONA|FOR UNITED STATES REPRESENTATIVE|3|F. Sanchez|Write-in (Independent)|43
11/4/2014|ARIZONA|FOR UNITED STATES REPRESENTATIVE|3|Lee Thompson|Write-in (Marketing Managers)|8
11/4/2014|ARIZONA|FOR UNITED STATES REPRESENTATIVE|4|Paul A. Gosar|Republican|122560
11/4/2014|ARIZONA|FOR UNITED STATES REPRESENTATIVE|4|Mike Weisser|Democrat|45179
11/4/2014|ARIZONA|FOR UNITED STATES REPRESENTATIVE|4|Chris Rike|Libertarian|7440
11/4/2014|ARIZONA|FOR UNITED STATES REPRESENTATIVE|5|Matt Salmon|Republican|124867
11/4/2014|ARIZONA|FOR UNITED STATES REPRESENTATIVE|5|James Woods|Democrat|54596
11/4/2014|ARIZONA|FOR UNITED STATES REPRESENTATIVE|6|David Schweikert|Republican|129578
11/4/2014|ARIZONA|FOR UNITED STATES REPRESENTATIVE|6|W. John Williamson|Democrat|70198
11/4/2014|ARIZONA|FOR UNITED STATES REPRESENTATIVE|7|Ruben Gallego|Democrat|54235
11/4/2014|ARIZONA|FOR UNITED STATES REPRESENTATIVE|7|Joe Cobb|Libertarian|10715
11/4/2014|ARIZONA|FOR UNITED STATES REPRESENTATIVE|7|Rebecca DeWitt|Americans Elect|3858
11/4/2014|ARIZONA|FOR UNITED STATES REPRESENTATIVE|7|José Peñalosa|José Peñalosa|3496
11/4/2014|ARIZONA|FOR UNITED STATES REPRESENTATIVE|7|Gary Dunn|Write-in (Republican)|129
11/4/2014|ARIZONA|FOR UNITED STATES REPRESENTATIVE|7|Gustavo Ortega|Write-in (Democrat)|17
11/4/2014|ARIZONA|FOR UNITED STATES REPRESENTATIVE|7|Samuel Esquivel|Write-in (Independent)|4
11/4/2014|ARIZONA|FOR UNITED STATES REPRESENTATIVE|8|Trent Franks|Republican|128710
11/4/2014|ARIZONA|FOR UNITED STATES REPRESENTATIVE|8|Stephen Dolgos|Americans Elect|41066
11/4/2014|ARIZONA|FOR UNITED STATES REPRESENTATIVE|9|Wendy Rogers|Republican|67841
11/4/2014|ARIZONA|FOR UNITED STATES REPRESENTATIVE|9|Kyrsten Sinema|Democrat|88609
11/4/2014|ARIZONA|FOR UNITED STATES REPRESENTATIVE|9|Powell Gammill|Libertarian|5612
11/4/2014|ARKANSAS|FOR UNITED STATES SENATOR||Tom Cotton|Republican|478819
11/4/2014|ARKANSAS|FOR UNITED STATES SENATOR||Mark L. Pryor|Democrat|334174
11/4/2014|ARKANSAS|FOR UNITED STATES SENATOR||Nathan LaFrance|Libertarian|17210
11/4/2014|ARKANSAS|FOR UNITED STATES SENATOR||Mark H. Swaney|Green|16797
11/4/2014|ARKANSAS|FOR UNITED STATES SENATOR||Write-in||505
11/4/2014|ARKANSAS|FOR UNITED STATES REPRESENTATIVE|1|Eric A. “Rick” Crawford|Republican|124139
11/4/2014|ARKANSAS|FOR UNITED STATES REPRESENTATIVE|1|Jackie McPherson|Democrat|63555
11/4/2014|ARKANSAS|FOR UNITED STATES REPRESENTATIVE|1|Brian Scott Willhite|Libertarian|8562
11/4/2014|ARKANSAS|FOR UNITED STATES REPRESENTATIVE|2|French Hill|Republican|123073
11/4/2014|ARKANSAS|FOR UNITED STATES REPRESENTATIVE|2|Patrick Henry Hays|Democrat|103477
11/4/2014|ARKANSAS|FOR UNITED STATES REPRESENTATIVE|2|Debbie Standiford|Libertarian|10590
11/4/2014|ARKANSAS|FOR UNITED STATES REPRESENTATIVE|2|Write-in||190
11/4/2014|ARKANSAS|FOR UNITED STATES REPRESENTATIVE|3|Steve Womack|Republican|151630
11/4/2014|ARKANSAS|FOR UNITED STATES REPRESENTATIVE|3|Grant Brand|Libertarian|39305
11/4/2014|ARKANSAS|FOR UNITED STATES REPRESENTATIVE|4|Bruce Westerman|Republican|110789
11/4/2014|ARKANSAS|FOR UNITED STATES REPRESENTATIVE|4|James Lee Witt|Democrat|87742
11/4/2014|ARKANSAS|FOR UNITED STATES REPRESENTATIVE|4|Ken Hamilton|Libertarian|7598
11/4/2014|ARKANSAS|FOR UNITED STATES REPRESENTATIVE|4|Write-in||2
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|1|Doug LaMalfa|Republican|132052
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|1|Heidi Hall|Democrat|84320
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|2|Dale K. Mensing|Republican|54400
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|2|Jared Huffman|Democrat|163124
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|3|Dan Logue|Republican|71036
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|3|John Garamendi|Democrat|79224
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|4|Tom McClintock|Republican|126784
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|4|Arthur “Art” Moore|Republican|84350
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|5|Mike Thompson|Democrat|129613
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|5|James Hinton|No Party Preference|41535
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|6|Joseph McCray, Sr.|Republican|36448
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|6|Doris O. Matsui|Democrat|97008
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|7|Doug Ose|Republican|91066
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|7|Ami Bera|Democrat|92521
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|8|Paul Cook|Republican|77480
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|8|Bob Conaway|Democrat|37056
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|9|Antonio C. “Tony” Amador|Republican|57729
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|9|Jerry McNerney|Democrat|63475
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|10|Jeff Denham|Republican|70582
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|10|Michael Eggman|Democrat|55123
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|11|Tue Phan|Republican|57160
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|11|Mark DeSaulnier|Democrat|117502
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|12|John Dennis|Republican|32197
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|12|Nancy Pelosi|Democrat|160067
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|13|Dakin Sundeen|Republican|21940
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|13|Barbara Lee|Democrat|168491
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|14|Robin Chew|Republican|34757
11/4/2014|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|14|Jackie Speier|Democrat|114389
