date|state|office|district|candidate|party|votes
11/08/2016|COLORADO|FOR UNITED STATES REPRESENTATIVE|6|Morgan Carroll|Democrat|160372
11/08/2016|COLORADO|FOR UNITED STATES REPRESENTATIVE|6|Norm Olsen|Libertarian|18778
11/08/2016|COLORADO|FOR UNITED STATES REPRESENTATIVE|6|Robert Lee Worthey|Green|5641
11/08/2016|COLORADO|FOR UNITED STATES REPRESENTATIVE|7|George Athanasopoulos|Republican|144066
11/08/2016|COLORADO|FOR UNITED STATES REPRESENTATIVE|7|Ed Perlmutter|Democrat|199758
11/08/2016|COLORADO|FOR UNITED STATES REPRESENTATIVE|7|Martin L. Buchanan|Libertarian|18186
11/08/2016|CONNECTICUT|FOR PRESIDENTIAL ELECTORS|||Republican|673215
11/08/2016|CONNECTICUT|FOR PRESIDENTIAL ELECTORS|||Democratic|897572
11/08/2016|CONNECTICUT|FOR PRESIDENTIAL ELECTORS|||Libertarian|48676
11/08/2016|CONNECTICUT|FOR PRESIDENTIAL ELECTORS|||Green|22841
11/08/2016|CONNECTICUT|FOR PRESIDENTIAL ELECTORS|||Write-in|2616
11/08/2016|CONNECTICUT|FOR UNITED STATES SENATOR||Dan Carter|Republican|552621
11/08/2016|CONNECTICUT|FOR UNITED STATES SENATOR||Richard Blumenthal|Democrat|920766
11/08/2016|CONNECTICUT|FOR UNITED STATES SENATOR||Richard Blumenthal|Working Families|87948
11/08/2016|CONNECTICUT|FOR UNITED STATES SENATOR||Richard Lion|Libertarian|18190
11/08/2016|CONNECTICUT|FOR UNITED STATES SENATOR||Jeffery Russell|Green|16713
11/08/2016|CONNECTICUT|FOR UNITED STATES SENATOR||Andrew Rule|Write-in|26
11/08/2016|CONNECTICUT|FOR UNITED STATES SENATOR||John M. Traceski|Write-in|12
11/08/2016|CONNECTICUT|FOR UNITED STATES REPRESENTATIVE|1|Matthew M. Corey|Republican|105674
11/08/2016|CONNECTICUT|FOR UNITED STATES REPRESENTATIVE|1|John B. Larson|Democrat|187021
11/08/2016|CONNECTICUT|FOR UNITED STATES REPRESENTATIVE|1|John B. Larson|Working Families|13665
11/08/2016|CONNECTICUT|FOR UNITED STATES REPRESENTATIVE|1|S. Michael DeRosa|Green|6563
11/08/2016|CONNECTICUT|FOR UNITED STATES REPRESENTATIVE|1|Charles Jackson|Write-in|1
11/08/2016|CONNECTICUT|FOR UNITED STATES REPRESENTATIVE|1|Mark Stewart|Write-in|1
11/08/2016|CONNECTICUT|FOR UNITED STATES REPRESENTATIVE|2|Daria Novak|Republican|111149
11/08/2016|CONNECTICUT|FOR UNITED STATES REPRESENTATIVE|2|Joe Courtney|Democrat|186210
11/08/2016|CONNECTICUT|FOR UNITED STATES REPRESENTATIVE|2|Joe Courtney|Working Families|22608
11/08/2016|CONNECTICUT|FOR UNITED STATES REPRESENTATIVE|2|Jonathan Pelto|Green|5332
11/08/2016|CONNECTICUT|FOR UNITED STATES REPRESENTATIVE|2|Daniel Reale|Libertarian|4949
11/08/2016|CONNECTICUT|FOR UNITED STATES REPRESENTATIVE|2|Elizabeth F. Traceski|Write-in|9
11/08/2016|CONNECTICUT|FOR UNITED STATES REPRESENTATIVE|3|Angel Cadena|Republican|95786
11/08/2016|CONNECTICUT|FOR UNITED STATES REPRESENTATIVE|3|Rosa L. DeLauro|Democrat|192274
11/08/2016|CONNECTICUT|FOR UNITED STATES REPRESENTATIVE|3|Rosa L. DeLauro|Working Families|21298
11/08/2016|CONNECTICUT|FOR UNITED STATES REPRESENTATIVE|3|Christopher Schaefer|Write-in|18
11/08/2016|CONNECTICUT|FOR UNITED STATES REPRESENTATIVE|3|Andrew Rule|Write-in|3
11/08/2016|CONNECTICUT|FOR UNITED STATES REPRESENTATIVE|4|John Shaban|Republican|120653
11/08/2016|CONNECTICUT|FOR UNITED STATES REPRESENTATIVE|4|John Shaban|Independent|5071
11/08/2016|CONNECTICUT|FOR UNITED STATES REPRESENTATIVE|4|James A. Himes|Democrat|187811
11/08/2016|CONNECTICUT|FOR UNITED STATES REPRESENTATIVE|4|Carl E. Vassar|Write-in|5
11/08/2016|CONNECTICUT|FOR UNITED STATES REPRESENTATIVE|5|Clay Cope|Republican|124900
11/08/2016|CONNECTICUT|FOR UNITED STATES REPRESENTATIVE|5|Clay Cope|Independent|4901
11/08/2016|CONNECTICUT|FOR UNITED STATES REPRESENTATIVE|5|Elizabeth H. Esty|Democrat|163499
11/08/2016|CONNECTICUT|FOR UNITED STATES REPRESENTATIVE|5|Elizabeth H. Esty|Working Families|15753
11/08/2016|CONNECTICUT|FOR UNITED STATES REPRESENTATIVE|5|John Pistone|Write-in|28
11/08/2016|CONNECTICUT|FOR UNITED STATES REPRESENTATIVE|5|Ann-Marie Adams|Write-in|1
11/08/2016|DELAWARE|FOR PRESIDENTIAL ELECTORS|||Republican|185127
11/08/2016|DELAWARE|FOR PRESIDENTIAL ELECTORS|||Democratic|235603
11/08/2016|DELAWARE|FOR PRESIDENTIAL ELECTORS|||Libertarian|14757
11/08/2016|DELAWARE|FOR PRESIDENTIAL ELECTORS|||Green|6103
11/08/2016|DELAWARE|FOR UNITED STATES REPRESENTATIVE |AT LARGE|Hans Reigle|Republican|172301
11/08/2016|DELAWARE|FOR UNITED STATES REPRESENTATIVE |AT LARGE|Lisa Blunt Rochester|Democrat|233554
11/08/2016|DELAWARE|FOR UNITED STATES REPRESENTATIVE |AT LARGE|Mark J. Perri|Green|8326
11/08/2016|DELAWARE|FOR UNITED STATES REPRESENTATIVE |AT LARGE|Scott A. Gesty|Libertarian|6436
