date|state|office|district|candidate|party|votes
11/08/2016|ARIZONA|FOR UNITED STATES REPRESENTATIVE|1|Tom O’Halleran|Democrat|142219
11/08/2016|ARIZONA|FOR UNITED STATES REPRESENTATIVE|1|Ray Parrish|Green|16746
11/08/2016|ARIZONA|FOR UNITED STATES REPRESENTATIVE|2|Martha McSally|Republican|179806
11/08/2016|ARIZONA|FOR UNITED STATES REPRESENTATIVE|2|Matt Heinz|Democrat|135873
11/08/2016|ARIZONA|FOR UNITED STATES REPRESENTATIVE|3|Raúl M. Grijalva|Democrat|148973
11/08/2016|ARIZONA|FOR UNITED STATES REPRESENTATIVE|3|Bill Abatecola|Write-in (Republican)|1303
11/08/2016|ARIZONA|FOR UNITED STATES REPRESENTATIVE|3|Jaime Vasquez|Write-in (Republican)|332
11/08/2016|ARIZONA|FOR UNITED STATES REPRESENTATIVE|3|Harvey Martin|Write-in (Democratic)|283
11/08/2016|ARIZONA|FOR UNITED STATES REPRESENTATIVE|3|Federico A. Sanchez|Write-in (Independent)|144
11/08/2016|ARIZONA|FOR UNITED STATES REPRESENTATIVE|4|Paul A. Gosar|Republican|203487
11/08/2016|ARIZONA|FOR UNITED STATES REPRESENTATIVE|4|Mikel Weisser|Democrat|81296
11/08/2016|ARIZONA|FOR UNITED STATES REPRESENTATIVE|5|Andy Biggs|Republican|205184
11/08/2016|ARIZONA|FOR UNITED STATES REPRESENTATIVE|5|Talia Fuentes|Democrat|114940
11/08/2016|ARIZONA|FOR UNITED STATES REPRESENTATIVE|6|David Schweikert|Republican|201578
11/08/2016|ARIZONA|FOR UNITED STATES REPRESENTATIVE|6|W. John Williamson|Democrat|122866
11/08/2016|ARIZONA|FOR UNITED STATES REPRESENTATIVE|7|Eve Nunez|Republican|39286
11/08/2016|ARIZONA|FOR UNITED STATES REPRESENTATIVE|7|Ruben Gallego|Democrat|119465
11/08/2016|ARIZONA|FOR UNITED STATES REPRESENTATIVE|7|Neil B. Westbrooks|Write-in (Green)|60
11/08/2016|ARIZONA|FOR UNITED STATES REPRESENTATIVE|8|Trent Franks|Republican|204942
11/08/2016|ARIZONA|FOR UNITED STATES REPRESENTATIVE|8|Mark Salazar|Green|93954
11/08/2016|ARIZONA|FOR UNITED STATES REPRESENTATIVE|8|Hayden Keener III|Write-in (Republican)|75
11/08/2016|ARIZONA|FOR UNITED STATES REPRESENTATIVE|9|Dave Giles|Republican|108350
11/08/2016|ARIZONA|FOR UNITED STATES REPRESENTATIVE|9|Kyrsten Sinema|Democrat|169055
11/08/2016|ARIZONA|FOR UNITED STATES REPRESENTATIVE|9|Cary Dolego|Write-in (Green)|56
11/08/2016|ARIZONA|FOR UNITED STATES REPRESENTATIVE|9|Axel Bello|Write-in (Independent)|46
11/08/2016|ARKANSAS|FOR PRESIDENTIAL ELECTORS|||Republican|684872
11/08/2016|ARKANSAS|FOR PRESIDENTIAL ELECTORS|||Democratic|380494
11/08/2016|ARKANSAS|FOR PRESIDENTIAL ELECTORS|||Libertarian|29829
11/08/2016|ARKANSAS|FOR PRESIDENTIAL ELECTORS|||Better for America|13255
11/08/2016|ARKANSAS|FOR PRESIDENTIAL ELECTORS|||Green|9473
11/08/2016|ARKANSAS|FOR PRESIDENTIAL ELECTORS|||Independent|8099
11/08/2016|ARKANSAS|FOR PRESIDENTIAL ELECTORS|||Constitution|4613
11/08/2016|ARKANSAS|FOR UNITED STATES SENATOR||John Boozman|Republican|661984
11/08/2016|ARKANSAS|FOR UNITED STATES SENATOR||Conner Eldridge|Democrat|400602
11/08/2016|ARKANSAS|FOR UNITED STATES SENATOR||Frank Gilbert|Libertarian|43866
11/08/2016|ARKANSAS|FOR UNITED STATES SENATOR||Write-in||1070
11/08/2016|ARKANSAS|FOR UNITED STATES REPRESENTATIVE|1|Eric A. “Rick” Crawford|Republican|183866
11/08/2016|ARKANSAS|FOR UNITED STATES REPRESENTATIVE|1|Mark West|Libertarian|57181
11/08/2016|ARKANSAS|FOR UNITED STATES REPRESENTATIVE|2|J. French Hill|Republican|176472
11/08/2016|ARKANSAS|FOR UNITED STATES REPRESENTATIVE|2|Dianne Curry|Democrat|111347
11/08/2016|ARKANSAS|FOR UNITED STATES REPRESENTATIVE|2|Chris Hayes|Libertarian|14342
11/08/2016|ARKANSAS|FOR UNITED STATES REPRESENTATIVE|2|Write-in||303
11/08/2016|ARKANSAS|FOR UNITED STATES REPRESENTATIVE|3|Steve Womack|Republican|217192
11/08/2016|ARKANSAS|FOR UNITED STATES REPRESENTATIVE|3|Steve Isaacson|Libertarian|63715
11/08/2016|ARKANSAS|FOR UNITED STATES REPRESENTATIVE|4|Bruce Westerman|Republican|182885
11/08/2016|ARKANSAS|FOR UNITED STATES REPRESENTATIVE|4|Kerry Hicks|Libertarian|61274
11/08/2016|CALIFORNIA|FOR PRESIDENTIAL ELECTORS|||Republican|4483810
11/08/2016|CALIFORNIA|FOR PRESIDENTIAL ELECTORS|||Democratic|8753788
11/08/2016|CALIFORNIA|FOR PRESIDENTIAL ELECTORS|||Libertarian|478500
11/08/2016|CALIFORNIA|FOR PRESIDENTIAL ELECTORS|||Green|278657
11/08/2016|CALIFORNIA|FOR PRESIDENTIAL ELECTORS|||Write-in|120739
11/08/2016|CALIFORNIA|FOR PRESIDENTIAL ELECTORS|||Peace and Freedom|66101
11/08/2016|CALIFORNIA|FOR UNITED STATES SENATOR||Kamala D. Harris|Democrat|7542753
11/08/2016|CALIFORNIA|FOR UNITED STATES SENATOR||Loretta Sanchez|Democrat|4701417
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|1|Doug LaMalfa|Republican|185448
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|1|Jim Reed|Democrat|128588
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|2|Dale K. Mensing|Republican|76572
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|2|Jared Huffman|Democrat|254194
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|3|N. Eugene Cleek|Republican|104453
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|3|John Garamendi|Democrat|152513
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|4|Tom McClintock|Republican|220133
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|4|Robert W. Derlet|Democrat|130845
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|5|Carlos Santamaria|Republican|67565
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|5|Mike Thompson|Democrat|224526
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|6|Robert “Bob” Evans|Republican|57848
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|6|Doris O. Matsui|Democrat|177565
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|7|Scott R. Jones|Republican|145168
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|7|Ami Bera|Democrat|152133
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|8|Paul Cook|Republican|136972
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|8|Rita Ramirez|Democrat|83035
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|9|Antonio C. “Tony” Amador|Republican|98992
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|9|Jerry McNerney|Democrat|133163
